X,Y,field_1,cat,x,y,z,slope,distance,label
-344710.231143388,762878.276972343,220,380,-344710.231143388024066,762878.276972342981026,317.000000000000000,0.314665400000000,591113.334848669706844,-1
-309711.025722567,762878.276972343,221,381,-309711.025722566992044,762878.276972342981026,335.000000000000000,0.071633480000000,569427.291308971121907,-1
-122715.271045607,762878.276972343,222,382,-122715.271045607005362,762878.276972342981026,91.000000000000000,0.272582000000000,467766.550202052923851,-1
4281.84576708707,762878.276972343,223,383,4281.845767087070271,762878.276972342981026,75.000000000000000,0.000000000000000,376800.864772821252700,-1
270275.806965329,762878.276972343,225,385,270275.806965328985825,762878.276972342981026,122.000000000000000,0.109093100000000,234611.414182370674098,-1
-520706.235545232,761878.469572508,227,387,-520706.235545232018922,761878.469572508009151,259.000000000000000,0.349259600000000,715679.193555867532268,-1
-248712.410560564,761878.469572508,228,388,-248712.410560563992476,761878.469572508009151,251.000000000000000,0.111883800000000,534163.300184495281428,-1
-73716.3834564575,761878.469572508,229,389,-73716.383456457493594,761878.469572508009151,77.000000000000000,0.174869400000000,429837.647495843062643,-1
20281.4825308911,761878.469572508,230,390,20281.482530891098577,761878.469572508009151,75.000000000000000,0.000000000000000,366068.713895061053336,-1
110279.439327289,761878.469572508,231,391,110279.439327289001085,761878.469572508009151,243.000000000000000,0.375900100000000,308573.923849957238417,-1
272275.761560804,761878.469572508,234,394,272275.761560803977773,761878.469572508009151,108.000000000000000,0.602279100000000,233043.620899998641107,-1
-478707.189040247,760878.662172674,235,395,-478707.189040247001685,760878.662172673968598,236.000000000000000,0.123657800000000,683080.521009540883824,-1
-152714.58997774,760878.662172674,236,396,-152714.589977739989990,760878.662172673968598,75.000000000000000,0.000000000000000,480621.753157291735988,-1
79280.1430974184,760878.662172674,237,397,79280.143097418404068,760878.662172673968598,155.000000000000000,0.470906300000000,326552.566857531433925,-1
-488706.962017624,759878.854772839,242,402,-488706.962017623998690,759878.854772838996723,250.000000000000000,0.041767280000000,689937.861769027891569,-1
-165714.294848331,759878.854772839,243,403,-165714.294848330988316,759878.854772838996723,75.000000000000000,0.000000000000000,486133.824883594061248,-1
-568705.145836644,758879.047373004,246,406,-568705.145836643991061,758879.047373004024848,208.000000000000000,0.125291600000000,751581.834957462386228,-1
-542705.736095463,758879.047373004,247,407,-542705.736095463042147,758879.047373004024848,242.000000000000000,0.182599900000000,730956.846415058244020,-1
137278.826366208,758879.047373004,248,408,137278.826366207998944,758879.047373004024848,237.000000000000000,0.425916100000000,291360.344476261816453,-1
-771700.537277408,757879.23997317,251,411,-771700.537277407944202,757879.239973169984296,176.000000000000000,0.000000000000000,912600.022601506323554,-1
-531705.985820347,757879.23997317,252,412,-531705.985820346977562,757879.239973169984296,253.000000000000000,0.243110100000000,721711.158187367138453,-1
-415708.619282768,757879.23997317,253,413,-415708.619282767991535,757879.239973169984296,176.000000000000000,0.000000000000000,635191.419043042114936,-1
-114715.452663705,757879.23997317,254,414,-114715.452663705000305,757879.239973169984296,106.000000000000000,0.101799900000000,458395.491601101646665,-1
-370709.640884569,756879.432573335,257,417,-370709.640884568972979,756879.432573335012421,248.000000000000000,0.128918200000000,603548.523639325168915,-1
-322710.730593157,756879.432573335,258,418,-322710.730593157000840,756879.432573335012421,352.000000000000000,0.314492400000000,572611.062966271070763,-1
-336710.412761486,755879.625173501,261,421,-336710.412761486019008,755879.625173500971869,327.000000000000000,0.477396900000000,580623.035943938768469,-1
66280.4382268277,755879.625173501,262,422,66280.438226827696781,755879.625173500971869,137.000000000000000,0.147483000000000,331232.937473361555021,-1
-668702.875610419,754879.817773666,263,423,-668702.875610418966971,754879.817773665999994,261.000000000000000,0.103305800000000,828015.165956359938718,-1
-506706.553376904,754879.817773666,264,424,-506706.553376903990284,754879.817773665999994,260.000000000000000,0.315509600000000,700427.462859490653500,-1
-496706.780399526,754879.817773666,265,425,-496706.780399526003748,754879.817773665999994,252.000000000000000,0.646155000000000,692761.189033476985060,-1
-201713.47756689,754879.817773666,266,426,-201713.477566890011076,754879.817773665999994,75.000000000000000,0.000000000000000,500997.565565931436140,-1
-120715.316450132,754879.817773666,267,427,-120715.316450131998863,754879.817773665999994,106.000000000000000,0.022649040000000,460679.827870623499621,-1
-117715.384556919,754879.817773666,268,428,-117715.384556919001625,754879.817773665999994,106.000000000000000,0.067956340000000,458884.072670999914408,-1
-48716.9510130137,754879.817773666,269,429,-48716.951013013698685,754879.817773665999994,75.000000000000000,0.000000000000000,406844.290953995485324,-1
32281.2101037441,754879.817773666,270,430,32281.210103744098888,754879.817773665999994,107.000000000000000,0.152283400000000,353248.107035900757182,-1
88279.9387770582,754879.817773666,271,431,88279.938777058196138,754879.817773665999994,182.000000000000000,0.051649580000000,316213.284491952916142,-1
